Variable,VariableL1,Unit,VarGroup
OM Cost|Fixed|Electricity|Wind|Offshore,OM Cost,US$2010/kW/yr,Energy
Policy Cost|Area under MAC Curve,Policy Cost,billion US$2010/yr,Macroeconomic
Policy Cost|Default for CAV,Policy Cost,billion US$2010/yr,Macroeconomic
Population|Rural,Population,million,Macroeconomic
Population|Urban,Population,million,Macroeconomic
Primary Energy|Biomass|Hydrogen,Primary Energy,EJ/yr,Energy
Primary Energy|Coal|Hydrogen,Primary Energy,EJ/yr,Energy
Primary Energy|Gas|Hydrogen,Primary Energy,EJ/yr,Energy
Primary Energy|Oil|Hydrogen,Primary Energy,EJ/yr,Energy
Secondary Energy|Electricity|Storage Losses,Secondary Energy,EJ/yr,Energy
Secondary Energy|Hydrogen|Coal|w/ CCS,Secondary Energy,EJ/yr,Energy
Secondary Energy|Hydrogen|Non-Biomass Renewables,Secondary Energy,EJ/yr,Energy
Secondary Energy|Hydrogen|Oil,Secondary Energy,EJ/yr,Energy
Secondary Energy|Hydrogen|Other,Secondary Energy,EJ/yr,Energy
Secondary Energy|Hydrogen|Solar,Secondary Energy,EJ/yr,Energy
Subsidies|Energy,Subsidies,billion US$2010/yr,Macroeconomic
Subsidies|Energy|Fossil,Subsidies,billion US$2010/yr,Macroeconomic
Trade|Secondary Energy|Hydrogen|Volume,Trade,EJ/yr,Energy
Water Consumption|Electricity|Cooling Pond,Water Consumption,km3/yr,Water
Water Consumption|Electricity|Dry Cooling,Water Consumption,km3/yr,Water
Water Consumption|Electricity|Once Through,Water Consumption,km3/yr,Water
Water Consumption|Electricity|Other,Water Consumption,km3/yr,Water
Water Consumption|Electricity|Sea Cooling,Water Consumption,km3/yr,Water
Water Consumption|Electricity|Solar,Water Consumption,km3/yr,Water
Water Consumption|Electricity|Solar|CSP,Water Consumption,km3/yr,Water
Water Consumption|Electricity|Solar|PV,Water Consumption,km3/yr,Water
Water Consumption|Electricity|Wet Tower,Water Consumption,km3/yr,Water
Water Withdrawal|Electricity|Cooling Pond,Water Withdrawal,km3/yr,Water
Water Withdrawal|Electricity|Dry Cooling,Water Withdrawal,km3/yr,Water
Water Withdrawal|Electricity|Ocean,Water Withdrawal,km3/yr,Water
Water Withdrawal|Electricity|Once Through,Water Withdrawal,km3/yr,Water
Water Withdrawal|Electricity|Other,Water Withdrawal,km3/yr,Water
Water Withdrawal|Electricity|Sea Cooling,Water Withdrawal,km3/yr,Water
Water Withdrawal|Electricity|Solar,Water Withdrawal,km3/yr,Water
Water Withdrawal|Electricity|Solar|CSP,Water Withdrawal,km3/yr,Water
Water Withdrawal|Electricity|Solar|PV,Water Withdrawal,km3/yr,Water
Water Withdrawal|Electricity|Wet Tower,Water Withdrawal,km3/yr,Water
Yield|Oilcrops,Yield,t DM/ha/yr,AgLU
Carbon Sequestration|CCS|Biomass|Industrial Processes,Carbon Sequestration,Mt CO2/yr,Emissions & Climate
Carbon Sequestration|Feedstocks,Carbon Sequestration,Mt CO2/yr,Emissions & Climate
Emissions|BC|Energy|Demand|Residential and Commercial|Commercial,Emissions,Mt BC/yr,Emissions & Climate
Emissions|BC|Energy|Demand|Residential and Commercial|Residential,Emissions,Mt BC/yr,Emissions & Climate
Emissions|CH4|Energy|Demand|Residential and Commercial|Commercial,Emissions,Mt CH4/yr,Emissions & Climate
Emissions|CH4|Energy|Demand|Residential and Commercial|Residential,Emissions,Mt CH4/yr,Emissions & Climate
Emissions|CH4|Industrial Processes|Chemicals,Emissions,Mt CH4/yr,Emissions & Climate
Emissions|CH4|Industrial Processes|Steel,Emissions,Mt CH4/yr,Emissions & Climate
Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Energy|Demand|Industry|Pulp and Paper,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Energy|Demand|Industry|Steel,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Energy|Demand|Transportation|Aviation|Freight,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Energy|Demand|Transportation|Maritime,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Energy|Demand|Transportation|Rail|Freight,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Energy|Demand|Transportation|Rail|Passenger,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Energy|Demand|Transportation|Road|Freight,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Energy|Demand|Transportation|Road|Passenger,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|LDV,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Industrial Processes|Cement,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Industrial Processes|Pulp and Paper,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Industrial Processes|Steel,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO|Energy|Demand|Residential and Commercial|Commercial,Emissions,Mt CO/yr,Emissions & Climate
Emissions|CO|Energy|Demand|Residential and Commercial|Residential,Emissions,Mt CO/yr,Emissions & Climate
Emissions|N2O|Energy|Demand|Residential and Commercial|Commercial,Emissions,kt N2O/yr,Emissions & Climate
Emissions|N2O|Energy|Demand|Residential and Commercial|Residential,Emissions,kt N2O/yr,Emissions & Climate
Emissions|N2O|Industrial Processes|Chemicals,Emissions,kt N2O/yr,Emissions & Climate
Emissions|NOx|Energy|Demand|Residential and Commercial|Commercial,Emissions,Mt NO2/yr,Emissions & Climate
Emissions|NOx|Energy|Demand|Residential and Commercial|Residential,Emissions,Mt NO2/yr,Emissions & Climate
Emissions|OC|Energy|Demand|Residential and Commercial|Commercial,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|OC|Energy|Demand|Residential and Commercial|Residential,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|Sulfur|Energy|Demand|Residential and Commercial|Commercial,Emissions,Mt SO2/yr,Emissions & Climate
Emissions|Sulfur|Energy|Demand|Residential and Commercial|Residential,Emissions,Mt SO2/yr,Emissions & Climate
Emissions|VOC|Energy|Demand|Residential and Commercial|Commercial,Emissions,Mt VOC/yr,Emissions & Climate
Emissions|VOC|Energy|Demand|Residential and Commercial|Residential,Emissions,Mt VOC/yr,Emissions & Climate
Energy Service|Residential and Commercial|Residential|Floor Space,Energy Service,bn m2/yr,Energy
Energy Service|Transportation|Passenger|Bicycling and Walking,Energy Service,bn pkm/yr,Energy
Final Energy (excl. feedstocks)|Industry,Final Energy (excl. feedstocks),EJ/yr,Energy
Final Energy (excl. feedstocks)|Industry|Electricity,Final Energy (excl. feedstocks),EJ/yr,Energy
Final Energy (excl. feedstocks)|Industry|Gases,Final Energy (excl. feedstocks),EJ/yr,Energy
Final Energy (excl. feedstocks)|Industry|Gases|Fossil,Final Energy (excl. feedstocks),EJ/yr,Energy
Final Energy (excl. feedstocks)|Industry|Heat,Final Energy (excl. feedstocks),EJ/yr,Energy
Final Energy (excl. feedstocks)|Industry|Hydrogen,Final Energy (excl. feedstocks),EJ/yr,Energy
Final Energy (excl. feedstocks)|Industry|Liquids,Final Energy (excl. feedstocks),EJ/yr,Energy
Final Energy (excl. feedstocks)|Industry|Liquids|Bioenergy,Final Energy (excl. feedstocks),EJ/yr,Energy
Final Energy (excl. feedstocks)|Industry|Liquids|Fossil,Final Energy (excl. feedstocks),EJ/yr,Energy
Final Energy (excl. feedstocks)|Industry|Solids,Final Energy (excl. feedstocks),EJ/yr,Energy
Final Energy (excl. feedstocks)|Industry|Solids|Bioenergy,Final Energy (excl. feedstocks),EJ/yr,Energy
Final Energy (excl. feedstocks)|Industry|Solids|Fossil,Final Energy (excl. feedstocks),EJ/yr,Energy
Final Energy|Industry|Cement|Electricity,Final Energy,EJ/yr,Energy
Final Energy|Industry|Cement|Gases,Final Energy,EJ/yr,Energy
Final Energy|Industry|Cement|Heat,Final Energy,EJ/yr,Energy
Final Energy|Industry|Cement|Hydrogen,Final Energy,EJ/yr,Energy
Final Energy|Industry|Cement|Liquids,Final Energy,EJ/yr,Energy
Final Energy|Industry|Cement|Liquids|Fossil,Final Energy,EJ/yr,Energy
Final Energy|Industry|Cement|Solids,Final Energy,EJ/yr,Energy
Final Energy|Industry|Cement|Solids|Bioenergy,Final Energy,EJ/yr,Energy
Final Energy|Industry|Cement|Solids|Fossil,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|Ammonia|Electricity,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|Ammonia|Gases,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|Ammonia|Gases|Fossil,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|Ammonia|Liquids,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|Ammonia|Liquids|Bioenergy,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|Ammonia|Liquids|Fossil,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|Ammonia|Other,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|Ammonia|Solids,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|Ammonia|Solids|Bioenergy,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|Ammonia|Solids|Fossil,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|Electricity,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|Gases,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|High value chemicals|Electricity,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|High value chemicals|Gases,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|High value chemicals|Gases|Fossil,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|High value chemicals|Liquids,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|High value chemicals|Liquids|Bioenergy,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|High value chemicals|Liquids|Fossil,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|High value chemicals|Solids,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|High value chemicals|Solids|Bioenergy,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|High value chemicals|Solids|Fossil,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|Liquids,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|Liquids|Bioenergy,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|Liquids|Fossil,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|Solids,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|Solids|Bioenergy,Final Energy,EJ/yr,Energy
Final Energy|Industry|Chemicals|Solids|Fossil,Final Energy,EJ/yr,Energy
Final Energy|Industry|Other|Electricity,Final Energy,EJ/yr,Energy
Final Energy|Industry|Other|Gases,Final Energy,EJ/yr,Energy
Final Energy|Industry|Other|Gases|Fossil,Final Energy,EJ/yr,Energy
Final Energy|Industry|Other|Heat,Final Energy,EJ/yr,Energy
Final Energy|Industry|Other|Hydrogen,Final Energy,EJ/yr,Energy
Final Energy|Industry|Other|Liquids,Final Energy,EJ/yr,Energy
Final Energy|Industry|Other|Liquids|Bioenergy,Final Energy,EJ/yr,Energy
Final Energy|Industry|Other|Liquids|Fossil,Final Energy,EJ/yr,Energy
Final Energy|Industry|Other|Solids,Final Energy,EJ/yr,Energy
Final Energy|Industry|Other|Solids|Bioenergy,Final Energy,EJ/yr,Energy
Final Energy|Industry|Other|Solids|Fossil,Final Energy,EJ/yr,Energy
Final Energy|Industry|Steel|Electricity,Final Energy,EJ/yr,Energy
Final Energy|Industry|Steel|Gases,Final Energy,EJ/yr,Energy
Final Energy|Industry|Steel|Heat,Final Energy,EJ/yr,Energy
Final Energy|Industry|Steel|Hydrogen,Final Energy,EJ/yr,Energy
Final Energy|Industry|Steel|Liquids,Final Energy,EJ/yr,Energy
Final Energy|Industry|Steel|Liquids|Fossil,Final Energy,EJ/yr,Energy
Final Energy|Industry|Steel|Solids,Final Energy,EJ/yr,Energy
Final Energy|Industry|Steel|Solids|Bioenergy,Final Energy,EJ/yr,Energy
Final Energy|Industry|Steel|Solids|Fossil,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Appliances,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Commercial|Appliances,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Commercial|Heating,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Commercial|Heating|Cooking,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Commercial|Heating|Water,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Commercial|Lighting,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Heating,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Heating|Cooking,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Heating|Water,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Lighting,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Residential|Appliances,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Residential|Heating,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Residential|Heating|Cooking,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Residential|Heating|Water,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Residential|Lighting,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Aviation|Freight,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Aviation|Passenger,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Gases|Fossil,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Passenger|Gases|Fossil,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Rail|Freight,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Rail|Passenger,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Road|Passenger|Bus,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Road|Passenger|LDV,Final Energy,EJ/yr,Energy
Material recycling|Chemicals,Material recycling,Mt/year,Industry
Material recycling|Plastics,Material recycling,Mt/year,Industry
Population|Electricity Access,Population,million,Macroeconomic
Price|Agriculture|Livestock|Index,Price,Index (2010 = 1),AgLU
Production|Chemicals,Production,Mt/year,Industry
Production|Pulp and Paper,Production,Mt/year,Industry
Secondary Energy|Liquids|Biomass|Other,Secondary Energy,EJ/yr,Energy
Discount rate|Economy,Discount rate,%,Macroeconomic
Energy Service|Residential and Commercial|Commercial|Floor Space,Energy Service,bn m2/yr,Energy
Investment|Energy Supply|Liquids|Coal and Gas,Investment,billion US$2010/yr,Macroeconomic
Price|Final Energy|Residential and Commercial|Residential|Liquids|Oil,Price,US$2010/GJ,Energy
Resource|Extraction|Coal,Resource,EJ/yr,Energy
Resource|Extraction|Gas,Resource,EJ/yr,Energy
Resource|Extraction|Oil,Resource,EJ/yr,Energy
Secondary Energy|Gases|Other,Secondary Energy,EJ/yr,Energy
Secondary Energy|Heat|Other,Secondary Energy,EJ/yr,Energy
Capacity Additions|Electricity|Biomass,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Biomass|w/ CCS,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Biomass|w/o CCS,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Coal,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Coal|w/ CCS,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Coal|w/o CCS,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Fossil,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Gas,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Gas|w/ CCS,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Gas|w/o CCS,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Geothermal,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Hydro,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Non-Biomass Renewables,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Nuclear,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Oil,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Oil|w/ CCS,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Oil|w/o CCS,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Renewables (incl. Biomass),Capacity Additions,GW,Energy
Capacity Additions|Electricity|Solar,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Solar|CSP,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Solar|PV,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Storage Capacity,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Wind,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Wind|Offshore,Capacity Additions,GW,Energy
Capacity Additions|Electricity|Wind|Onshore,Capacity Additions,GW,Energy
Capacity|Gases|Biomass,Capacity,GW,Energy
Capacity|Gases|Biomass|w/o CCS,Capacity,GW,Energy
Capacity|Gases|Coal,Capacity,GW,Energy
Capacity|Gases|Coal|w/o CCS,Capacity,GW,Energy
Capacity|Liquids|Biomass,Capacity,GW,Energy
Capacity|Liquids|Coal,Capacity,GW,Energy
Capacity|Liquids|Coal|w/ CCS,Capacity,GW,Energy
Capacity|Liquids|Coal|w/o CCS,Capacity,GW,Energy
Capacity|Liquids|Gas,Capacity,GW,Energy
Capacity|Liquids|Gas|w/ CCS,Capacity,GW,Energy
Capacity|Liquids|Gas|w/o CCS,Capacity,GW,Energy
Capital Cost|Gases|Biomass|w/o CCS,Capital Cost,US$2010/kW,Energy
Capital Cost|Gases|Coal|w/o CCS,Capital Cost,US$2010/kW,Energy
Capital Cost|Hydrogen|Gas|w/o CCS,Capital Cost,US$2010/kW,Energy
Capital Cost|Liquids|Coal|w/ CCS,Capital Cost,US$2010/kW,Energy
Capital Cost|Liquids|Coal|w/o CCS,Capital Cost,US$2010/kW,Energy
Capital Cost|Liquids|Gas|w/ CCS,Capital Cost,US$2010/kW,Energy
Capital Cost|Liquids|Gas|w/o CCS,Capital Cost,US$2010/kW,Energy
Cumulative Capacity|Gases|Biomass,Cumulative Capacity,GW,Energy
Cumulative Capacity|Gases|Biomass|w/o CCS,Cumulative Capacity,GW,Energy
Cumulative Capacity|Gases|Coal,Cumulative Capacity,GW,Energy
Cumulative Capacity|Gases|Coal|w/o CCS,Cumulative Capacity,GW,Energy
Cumulative Capacity|Liquids|Biomass,Cumulative Capacity,GW,Energy
Cumulative Capacity|Liquids|Biomass|w/ CCS,Cumulative Capacity,GW,Energy
Cumulative Capacity|Liquids|Biomass|w/o CCS,Cumulative Capacity,GW,Energy
Cumulative Capacity|Liquids|Coal,Cumulative Capacity,GW,Energy
Cumulative Capacity|Liquids|Coal|w/ CCS,Cumulative Capacity,GW,Energy
Cumulative Capacity|Liquids|Coal|w/o CCS,Cumulative Capacity,GW,Energy
Cumulative Capacity|Liquids|Gas,Cumulative Capacity,GW,Energy
Cumulative Capacity|Liquids|Gas|w/ CCS,Cumulative Capacity,GW,Energy
Cumulative Capacity|Liquids|Gas|w/o CCS,Cumulative Capacity,GW,Energy
Cumulative Capacity|Liquids|Oil,Cumulative Capacity,GW,Energy
Efficiency|Gases|Biomass|w/o CCS,Efficiency,%,Energy
Efficiency|Gases|Coal|w/o CCS,Efficiency,%,Energy
Efficiency|Hydrogen|Gas|w/o CCS,Efficiency,%,Energy
Efficiency|Liquids|Coal|w/ CCS,Efficiency,%,Energy
Efficiency|Liquids|Coal|w/o CCS,Efficiency,%,Energy
Efficiency|Liquids|Gas|w/ CCS,Efficiency,%,Energy
Efficiency|Liquids|Gas|w/o CCS,Efficiency,%,Energy
Fertilizer Use|Phosphorus,Fertilizer Use,Tg P/yr,Fertilizer
Lifetime|Electricity|Geothermal,Lifetime,years,Energy
Lifetime|Gases|Biomass|w/o CCS,Lifetime,years,Energy
Lifetime|Gases|Coal|w/o CCS,Lifetime,years,Energy
Lifetime|Hydrogen|Gas|w/o CCS,Lifetime,years,Energy
Lifetime|Liquids|Biomass|w/ CCS,Lifetime,years,Energy
Lifetime|Liquids|Biomass|w/o CCS,Lifetime,years,Energy
Lifetime|Liquids|Coal|w/ CCS,Lifetime,years,Energy
Lifetime|Liquids|Coal|w/o CCS,Lifetime,years,Energy
Lifetime|Liquids|Gas|w/ CCS,Lifetime,years,Energy
Lifetime|Liquids|Gas|w/o CCS,Lifetime,years,Energy
OM Cost|Fixed|Gases|Biomass|w/o CCS,OM Cost,US$2010/kW/yr,Energy
OM Cost|Fixed|Gases|Coal|w/o CCS,OM Cost,US$2010/kW/yr,Energy
OM Cost|Fixed|Hydrogen|Biomass|w/ CCS,OM Cost,US$2010/kW/yr,Energy
OM Cost|Fixed|Hydrogen|Biomass|w/o CCS,OM Cost,US$2010/kW/yr,Energy
OM Cost|Fixed|Hydrogen|Coal|w/ CCS,OM Cost,US$2010/kW/yr,Energy
OM Cost|Fixed|Hydrogen|Coal|w/o CCS,OM Cost,US$2010/kW/yr,Energy
OM Cost|Fixed|Hydrogen|Electricity,OM Cost,US$2010/kW/yr,Energy
OM Cost|Fixed|Hydrogen|Gas|w/ CCS,OM Cost,US$2010/kW/yr,Energy
OM Cost|Fixed|Hydrogen|Gas|w/o CCS,OM Cost,US$2010/kW/yr,Energy
OM Cost|Fixed|Liquids|Coal|w/ CCS,OM Cost,US$2010/kW/yr,Energy
OM Cost|Fixed|Liquids|Coal|w/o CCS,OM Cost,US$2010/kW/yr,Energy
OM Cost|Fixed|Liquids|Gas|w/ CCS,OM Cost,US$2010/kW/yr,Energy
OM Cost|Fixed|Liquids|Gas|w/o CCS,OM Cost,US$2010/kW/yr,Energy
Price|Final Energy|Residential and Commercial|Residential|Liquids|Biomass,Price,US$2010/GJ,Energy
Primary Energy|Biomass|Gases,Primary Energy,EJ/yr,Energy
Primary Energy|Coal|Gases,Primary Energy,EJ/yr,Energy
Primary Energy|Coal|Liquids,Primary Energy,EJ/yr,Energy
Primary Energy|Coal|Solids,Primary Energy,EJ/yr,Energy
Primary Energy|Gas|Gases,Primary Energy,EJ/yr,Energy
Primary Energy|Gas|Liquids,Primary Energy,EJ/yr,Energy
Primary Energy|Gas|Solids,Primary Energy,EJ/yr,Energy
Primary Energy|Oil|Gases,Primary Energy,EJ/yr,Energy
Primary Energy|Oil|Liquids,Primary Energy,EJ/yr,Energy
Primary Energy|Oil|Solids,Primary Energy,EJ/yr,Energy
Trade|Secondary Energy|Liquids|Coal|Volume,Trade,EJ/yr,Energy
Water Consumption|Extraction,Water Consumption,km3/yr,Water
Water Consumption|Extraction|Coal,Water Consumption,km3/yr,Water
Water Consumption|Extraction|Gas,Water Consumption,km3/yr,Water
Water Consumption|Extraction|Oil,Water Consumption,km3/yr,Water
Water Consumption|Extraction|Uranium,Water Consumption,km3/yr,Water
Water Consumption|Gases,Water Consumption,km3/yr,Water
Water Consumption|Gases|Biomass,Water Consumption,km3/yr,Water
Water Consumption|Gases|Coal,Water Consumption,km3/yr,Water
Water Consumption|Heat,Water Consumption,km3/yr,Water
Water Consumption|Heat|Biomass,Water Consumption,km3/yr,Water
Water Consumption|Heat|Coal,Water Consumption,km3/yr,Water
Water Consumption|Heat|Gas,Water Consumption,km3/yr,Water
Water Consumption|Heat|Geothermal,Water Consumption,km3/yr,Water
Water Consumption|Heat|Oil,Water Consumption,km3/yr,Water
Water Consumption|Heat|Other,Water Consumption,km3/yr,Water
Water Consumption|Hydrogen,Water Consumption,km3/yr,Water
Water Consumption|Hydrogen|Biomass,Water Consumption,km3/yr,Water
Water Consumption|Hydrogen|Biomass|w/ CCS,Water Consumption,km3/yr,Water
Water Consumption|Hydrogen|Biomass|w/o CCS,Water Consumption,km3/yr,Water
Water Consumption|Hydrogen|Coal,Water Consumption,km3/yr,Water
Water Consumption|Hydrogen|Coal|w/ CCS,Water Consumption,km3/yr,Water
Water Consumption|Hydrogen|Coal|w/o CCS,Water Consumption,km3/yr,Water
Water Consumption|Hydrogen|Electricity,Water Consumption,km3/yr,Water
Water Consumption|Hydrogen|Fossil,Water Consumption,km3/yr,Water
Water Consumption|Hydrogen|Fossil|w/ CCS,Water Consumption,km3/yr,Water
Water Consumption|Hydrogen|Fossil|w/o CCS,Water Consumption,km3/yr,Water
Water Consumption|Hydrogen|Gas,Water Consumption,km3/yr,Water
Water Consumption|Hydrogen|Gas|w/ CCS,Water Consumption,km3/yr,Water
Water Consumption|Hydrogen|Gas|w/o CCS,Water Consumption,km3/yr,Water
Water Consumption|Liquids,Water Consumption,km3/yr,Water
Water Consumption|Liquids|Biomass,Water Consumption,km3/yr,Water
Water Consumption|Liquids|Biomass|w/ CCS,Water Consumption,km3/yr,Water
Water Consumption|Liquids|Biomass|w/o CCS,Water Consumption,km3/yr,Water
Water Consumption|Liquids|Coal,Water Consumption,km3/yr,Water
Water Consumption|Liquids|Coal|w/ CCS,Water Consumption,km3/yr,Water
Water Consumption|Liquids|Coal|w/o CCS,Water Consumption,km3/yr,Water
Water Consumption|Liquids|Fossil,Water Consumption,km3/yr,Water
Water Consumption|Liquids|Fossil|w/ CCS,Water Consumption,km3/yr,Water
Water Consumption|Liquids|Fossil|w/o CCS,Water Consumption,km3/yr,Water
Water Consumption|Liquids|Gas,Water Consumption,km3/yr,Water
Water Consumption|Liquids|Gas|w/ CCS,Water Consumption,km3/yr,Water
Water Consumption|Liquids|Gas|w/o CCS,Water Consumption,km3/yr,Water
Water Consumption|Liquids|Oil,Water Consumption,km3/yr,Water
Water Withdrawal|Extraction,Water Withdrawal,km3/yr,Water
Water Withdrawal|Extraction|Coal,Water Withdrawal,km3/yr,Water
Water Withdrawal|Extraction|Gas,Water Withdrawal,km3/yr,Water
Water Withdrawal|Extraction|Oil,Water Withdrawal,km3/yr,Water
Water Withdrawal|Extraction|Uranium,Water Withdrawal,km3/yr,Water
Water Withdrawal|Gases,Water Withdrawal,km3/yr,Water
Water Withdrawal|Gases|Biomass,Water Withdrawal,km3/yr,Water
Water Withdrawal|Gases|Coal,Water Withdrawal,km3/yr,Water
Water Withdrawal|Heat,Water Withdrawal,km3/yr,Water
Water Withdrawal|Heat|Biomass,Water Withdrawal,km3/yr,Water
Water Withdrawal|Heat|Coal,Water Withdrawal,km3/yr,Water
Water Withdrawal|Heat|Gas,Water Withdrawal,km3/yr,Water
Water Withdrawal|Heat|Geothermal,Water Withdrawal,km3/yr,Water
Water Withdrawal|Heat|Oil,Water Withdrawal,km3/yr,Water
Water Withdrawal|Heat|Other,Water Withdrawal,km3/yr,Water
Water Withdrawal|Hydrogen,Water Withdrawal,km3/yr,Water
Water Withdrawal|Hydrogen|Biomass,Water Withdrawal,km3/yr,Water
Water Withdrawal|Hydrogen|Biomass|w/ CCS,Water Withdrawal,km3/yr,Water
Water Withdrawal|Hydrogen|Biomass|w/o CCS,Water Withdrawal,km3/yr,Water
Water Withdrawal|Hydrogen|Coal,Water Withdrawal,km3/yr,Water
Water Withdrawal|Hydrogen|Coal|w/ CCS,Water Withdrawal,km3/yr,Water
Water Withdrawal|Hydrogen|Coal|w/o CCS,Water Withdrawal,km3/yr,Water
Water Withdrawal|Hydrogen|Electricity,Water Withdrawal,km3/yr,Water
Water Withdrawal|Hydrogen|Fossil,Water Withdrawal,km3/yr,Water
Water Withdrawal|Hydrogen|Fossil|w/ CCS,Water Withdrawal,km3/yr,Water
Water Withdrawal|Hydrogen|Fossil|w/o CCS,Water Withdrawal,km3/yr,Water
Water Withdrawal|Hydrogen|Gas,Water Withdrawal,km3/yr,Water
