Variable,VariableL1,Unit,VarGroup
Energy Service|Transportation|Passenger|Road,Energy Service,bn pkm/yr,Energy
Energy Service|Transportation|Passenger|Road|Bus,Energy Service,bn pkm/yr,Energy
Energy Service|Transportation|Passenger|Road|LDV,Energy Service,bn pkm/yr,Energy
Final Energy|Other Sector|Solids|Biomass,Final Energy,EJ/yr,Energy
Forcing,Forcing,W/m2,Emissions & Climate
Forcing|Aerosol,Forcing,W/m2,Emissions & Climate
Forcing|Aerosol|BC,Forcing,W/m2,Emissions & Climate
Forcing|Aerosol|Black and Organic Carbon,Forcing,W/m2,Emissions & Climate
Forcing|Aerosol|Cloud Indirect,Forcing,W/m2,Emissions & Climate
Forcing|Aerosol|OC,Forcing,W/m2,Emissions & Climate
Forcing|Aerosol|Other,Forcing,W/m2,Emissions & Climate
Forcing|Aerosol|Sulfate Direct,Forcing,W/m2,Emissions & Climate
Forcing|CH4,Forcing,W/m2,Emissions & Climate
Forcing|CO2,Forcing,W/m2,Emissions & Climate
Forcing|F-Gases,Forcing,W/m2,Emissions & Climate
Forcing|Kyoto Gases,Forcing,W/m2,Emissions & Climate
Forcing|N2O,Forcing,W/m2,Emissions & Climate
Forcing|Other,Forcing,W/m2,Emissions & Climate
Forcing|Tropospheric Ozone,Forcing,W/m2,Emissions & Climate
Land Cover|Cropland|Irrigated,Land Cover,million ha,AgLU
Land Cover|Cropland|Rainfed,Land Cover,million ha,AgLU
Price|Agriculture|Corn|Index,Price,Index (2010 = 1),AgLU
Price|Agriculture|Non-Energy Crops|Index,Price,Index (2010 = 1),AgLU
Price|Agriculture|Soybean|Index,Price,Index (2010 = 1),AgLU
Price|Agriculture|Wheat|Index,Price,Index (2010 = 1),AgLU
Primary Energy|Biomass|Solids,Primary Energy,EJ/yr,Energy
Secondary Energy|Electricity|Curtailment,Secondary Energy,EJ/yr,Energy
Unemployment|Rate,Unemployment,%,Macroeconomic
Value Added|Industry|Energy,Value Added,billion US$2010/yr,Macroeconomic
Yield|Sugarcrops,Yield,t DM/ha/yr,AgLU
Carbon Sequestration|CCS|Biomass|Energy,Carbon Sequestration,Mt CO2/yr,Emissions & Climate
Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration,Mt CO2/yr,Emissions & Climate
Carbon Sequestration|CCS|Fossil|Industrial Processes,Carbon Sequestration,Mt CO2/yr,Emissions & Climate
Cumulative Capacity|Electricity|Other,Cumulative Capacity,GW,Energy
Emissions|BC|AFOLU|Land,Emissions,Mt BC/yr,Emissions & Climate
Emissions|BC|Industrial Processes,Emissions,Mt BC/yr,Emissions & Climate
Emissions|BC|Waste,Emissions,Mt BC/yr,Emissions & Climate
Emissions|C2F6,Emissions,kt C2F6/yr,Emissions & Climate
Emissions|CF4,Emissions,kt CF4/yr,Emissions & Climate
Emissions|CH4|AFOLU|Agriculture|Livestock|Enteric Fermentation,Emissions,Mt CH4/yr,Emissions & Climate
Emissions|CH4|AFOLU|Agriculture|Rice,Emissions,Mt CH4/yr,Emissions & Climate
Emissions|CH4|AFOLU|Land,Emissions,Mt CH4/yr,Emissions & Climate
Emissions|CH4|Industrial Processes,Emissions,Mt CH4/yr,Emissions & Climate
Emissions|CH4|Waste,Emissions,Mt CH4/yr,Emissions & Climate
Emissions|CO2|AFOLU|Land,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Energy|Demand|Transportation|Aviation,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Energy|Demand|Transportation|Rail,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Energy|Demand|Transportation|Road,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Waste,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO|AFOLU|Land,Emissions,Mt CO/yr,Emissions & Climate
Emissions|CO|Industrial Processes,Emissions,Mt CO/yr,Emissions & Climate
Emissions|CO|Waste,Emissions,Mt CO/yr,Emissions & Climate
Emissions|N2O|AFOLU|Land,Emissions,kt N2O/yr,Emissions & Climate
Emissions|N2O|Energy|Demand|Transportation,Emissions,kt N2O/yr,Emissions & Climate
Emissions|N2O|Industrial Processes,Emissions,kt N2O/yr,Emissions & Climate
Emissions|N2O|Waste,Emissions,kt N2O/yr,Emissions & Climate
Emissions|NH3|AFOLU|Agriculture,Emissions,Mt NH3/yr,Emissions & Climate
Emissions|NH3|AFOLU|Land,Emissions,Mt NH3/yr,Emissions & Climate
Emissions|NH3|Industrial Processes,Emissions,Mt NH3/yr,Emissions & Climate
Emissions|NH3|Waste,Emissions,Mt NH3/yr,Emissions & Climate
Emissions|NOx|AFOLU|Agriculture,Emissions,Mt NO2/yr,Emissions & Climate
Emissions|NOx|AFOLU|Land,Emissions,Mt NO2/yr,Emissions & Climate
Emissions|NOx|Industrial Processes,Emissions,Mt NO2/yr,Emissions & Climate
Emissions|NOx|Waste,Emissions,Mt NO2/yr,Emissions & Climate
Emissions|OC|AFOLU|Land,Emissions,Mt OC/yr,Emissions & Climate
Emissions|OC|Industrial Processes,Emissions,Mt OC/yr,Emissions & Climate
Emissions|OC|Waste,Emissions,Mt OC/yr,Emissions & Climate
Emissions|Sulfur|AFOLU|Land,Emissions,Mt SO2/yr,Emissions & Climate
Emissions|Sulfur|Industrial Processes,Emissions,Mt SO2/yr,Emissions & Climate
Emissions|Sulfur|Waste,Emissions,Mt SO2/yr,Emissions & Climate
Emissions|VOC|AFOLU|Land,Emissions,Mt VOC/yr,Emissions & Climate
Emissions|VOC|Industrial Processes,Emissions,Mt VOC/yr,Emissions & Climate
Emissions|VOC|Waste,Emissions,Mt VOC/yr,Emissions & Climate
Final Energy|Industry|Liquids|Oil,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Aviation,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Rail,Final Energy,EJ/yr,Energy
Premature Deaths|PM2.5,Premature Deaths,million,Environment
Carbon Sequestration|Direct Air Capture,Carbon Sequestration,Mt CO2/yr,Emissions & Climate
Carbon Sequestration|Enhanced Weathering,Carbon Sequestration,Mt CO2/yr,Emissions & Climate
Carbon Sequestration|Land Use|Biochar,Carbon Sequestration,Mt CO2/yr,Emissions & Climate
Carbon Sequestration|Land Use|Soil Carbon Management,Carbon Sequestration,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Other,Emissions,Mt CO2/yr,Emissions & Climate
Forcing|Montreal Gases,Forcing,W/m2,Emissions & Climate
Temperature|Global Mean,Temperature,°C,Emissions & Climate
Capacity|Electricity|Solar|CSP,Capacity,GW,Energy
Capacity|Electricity|Wind|Offshore,Capacity,GW,Energy
Carbon Sequestration|CCS|Biomass|Energy|Supply|Gases,Carbon Sequestration,Mt CO2/yr,Emissions & Climate
Carbon Sequestration|CCS|Fossil|Energy|Supply|Gases,Carbon Sequestration,Mt CO2/yr,Emissions & Climate
Carbon Sequestration|Other,Carbon Sequestration,Mt CO2/yr,Emissions & Climate
Cumulative Capacity|Electricity|Solar|CSP,Cumulative Capacity,GW,Energy
Cumulative Capacity|Electricity|Wind|Offshore,Cumulative Capacity,GW,Energy
Emissions|CH4|Other,Emissions,Mt CH4/yr,Emissions & Climate
Emissions|CO2|Energy|Supply|Gases,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Energy|Supply|Liquids,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|N2O|Other,Emissions,kt N2O/yr,Emissions & Climate
Final Energy|Other Sector|Hydrogen,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Other,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Freight|Gases,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Freight|Hydrogen,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Passenger|Gases,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Passenger|Hydrogen,Final Energy,EJ/yr,Energy
Investment,Investment,billion US$2010/yr,Macroeconomic
Investment|Energy Supply|Extraction|Uranium,Investment,billion US$2010/yr,Macroeconomic
Investment|Energy Supply|Hydrogen,Investment,billion US$2010/yr,Macroeconomic
Production|Cement,Production,Mt/year,Industry
Production|Steel,Production,Mt/year,Industry
Secondary Energy|Electricity|Solar|CSP,Secondary Energy,EJ/yr,Energy
Secondary Energy|Electricity|Wind|Offshore,Secondary Energy,EJ/yr,Energy
Secondary Energy|Hydrogen,Secondary Energy,EJ/yr,Energy
Secondary Energy|Liquids|Coal,Secondary Energy,EJ/yr,Energy
Secondary Energy|Liquids|Coal|w/ CCS,Secondary Energy,EJ/yr,Energy
Secondary Energy|Liquids|Coal|w/o CCS,Secondary Energy,EJ/yr,Energy
Secondary Energy|Liquids|Fossil|w/ CCS,Secondary Energy,EJ/yr,Energy
Trade,Trade,billion US$2010/yr,Macroeconomic
Final Energy|Residential and Commercial|Commercial|Hydrogen,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Residential|Hydrogen,Final Energy,EJ/yr,Energy
Policy Cost|Additional Total Energy System Cost,Policy Cost,billion US$2010/yr,Macroeconomic
Policy Cost|Equivalent Variation,Policy Cost,billion US$2010/yr,Macroeconomic
Policy Cost|Welfare Change,Policy Cost,billion US$2010/yr,Macroeconomic
Secondary Energy|Gases|Biomass,Secondary Energy,EJ/yr,Energy
Secondary Energy|Gases|Coal,Secondary Energy,EJ/yr,Energy
Secondary Energy|Hydrogen|Biomass,Secondary Energy,EJ/yr,Energy
Secondary Energy|Hydrogen|Biomass|w/ CCS,Secondary Energy,EJ/yr,Energy
Secondary Energy|Hydrogen|Biomass|w/o CCS,Secondary Energy,EJ/yr,Energy
Secondary Energy|Hydrogen|Electricity,Secondary Energy,EJ/yr,Energy
Secondary Energy|Hydrogen|Renewables (incl. Biomass),Secondary Energy,EJ/yr,Energy
Secondary Energy|Liquids|Gas,Secondary Energy,EJ/yr,Energy
Secondary Energy|Liquids|Gas|w/ CCS,Secondary Energy,EJ/yr,Energy
Secondary Energy|Liquids|Gas|w/o CCS,Secondary Energy,EJ/yr,Energy
Capital Cost|Electricity|Solar|CSP,Capital Cost,US$2010/kW,Energy
Primary Energy|Non-Biomass Renewables|Geothermal,Primary Energy,EJ/yr,Energy
Primary Energy|Non-Biomass Renewables|Hydro,Primary Energy,EJ/yr,Energy
Primary Energy|Non-Biomass Renewables|Solar,Primary Energy,EJ/yr,Energy
Primary Energy|Non-Biomass Renewables|Wind,Primary Energy,EJ/yr,Energy
Secondary Energy|Hydrogen|Fossil,Secondary Energy,EJ/yr,Energy
Secondary Energy|Hydrogen|Fossil|w/o CCS,Secondary Energy,EJ/yr,Energy
Secondary Energy|Hydrogen|Fossil|w/ CCS,Secondary Energy,EJ/yr,Energy
Capacity Additions|Electricity|Solar|CSP,Capacity Additions,GW/yr,Energy
Capacity Additions|Electricity|Wind|Offshore,Capacity Additions,GW/yr,Energy
Capital Cost|Electricity|Wind|Offshore,Capital Cost,US$2010/kW,Energy
Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,Carbon Sequestration,Mt CO2/yr,Emissions & Climate
Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen,Carbon Sequestration,Mt CO2/yr,Emissions & Climate
Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,Carbon Sequestration,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Energy|Demand|Transportation|Freight,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Energy|Demand|Transportation|Passenger,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Energy|Supply|Heat,Emissions,Mt CO2/yr,Emissions & Climate
Final Energy|Residential and Commercial|Commercial|Cooling,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Commercial|Heating|Space,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Cooling,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Heating|Space,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Residential|Cooling,Final Energy,EJ/yr,Energy
Final Energy|Residential and Commercial|Residential|Heating|Space,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Road|Freight,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Road|Freight|Electric,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Road|Passenger,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Road|Passenger|2W&3W,Final Energy,EJ/yr,Energy
Investment|Energy Supply|Other,Investment,billion US$2010/yr,Macroeconomic
Land Cover|Forest|Managed,Land Cover,million ha,AgLU
Price|Final Energy|Residential and Commercial|Residential|Gases|Natural Gas,Price,US$2010/GJ,Energy
Price|Final Energy|Transportation|Hydrogen,Price,US$2010/GJ,Energy
Price|Final Energy|Transportation|Liquids,Price,US$2010/GJ,Energy
Price|Secondary Energy|Gases|Natural Gas,Price,US$2010/GJ,Energy
Price|Secondary Energy|Hydrogen,Price,US$2010/GJ,Energy
Price|Secondary Energy|Liquids|Oil,Price,US$2010/GJ,Energy
Price|Secondary Energy|Solids|Coal,Price,US$2010/GJ,Energy
Production|Non-ferrous metals,Production,Mt/year,Industry
Secondary Energy|Hydrogen|Coal,Secondary Energy,EJ/yr,Energy
Secondary Energy|Hydrogen|Coal|w/o CCS,Secondary Energy,EJ/yr,Energy
Secondary Energy|Hydrogen|Gas,Secondary Energy,EJ/yr,Energy
Secondary Energy|Hydrogen|Gas|w/ CCS,Secondary Energy,EJ/yr,Energy
Secondary Energy|Hydrogen|Gas|w/o CCS,Secondary Energy,EJ/yr,Energy
Emissions|CO2|Energy|Supply|Other Sector,Emissions,Mt CO2/yr,Emissions & Climate
Emissions|CO2|Energy|Supply|Solids,Emissions,Mt CO2/yr,Emissions & Climate
Price|Agriculture|Rice|Index,Price,Index (2010 = 1),AgLU
Price|Final Energy|Residential and Commercial|Residential|Solids|Biomass,Price,US$2010/GJ,Energy
Price|Final Energy|Transportation|Electricity,Price,US$2010/GJ,Energy
Price|Final Energy|Transportation|Gases,Price,US$2010/GJ,Energy
Price|Secondary Energy|Solids|Biomass,Price,US$2010/GJ,Energy
Cumulative Capacity|Electricity|Biomass,Cumulative Capacity,GW,Energy
Cumulative Capacity|Electricity|Coal,Cumulative Capacity,GW,Energy
Cumulative Capacity|Electricity|Fossil,Cumulative Capacity,GW,Energy
Cumulative Capacity|Electricity|Gas,Cumulative Capacity,GW,Energy
Cumulative Capacity|Electricity|Oil,Cumulative Capacity,GW,Energy
Cumulative Capacity|Electricity|Solar,Cumulative Capacity,GW,Energy
Cumulative Capacity|Electricity|Wind,Cumulative Capacity,GW,Energy
Employment,Employment,million,Macroeconomic
Employment|Agriculture,Employment,million,Macroeconomic
Employment|Industry,Employment,million,Macroeconomic
Employment|Industry|Energy Intensive,Employment,million,Macroeconomic
Employment|Service,Employment,million,Macroeconomic
Expenditure|Medical System|Incremental,Expenditure,billion US$2010/yr,Macroeconomic
Expenditure|household,Expenditure,billion US$2010/yr,Macroeconomic
Expenditure|household|Energy,Expenditure,billion US$2010/yr,Macroeconomic
Expenditure|household|Food,Expenditure,billion US$2010/yr,Macroeconomic
Expenditure|household|Services,Expenditure,billion US$2010/yr,Macroeconomic
Final Energy|Industry|Other,Final Energy,EJ/yr,Energy
Final Energy|Other,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Liquids|Coal,Final Energy,EJ/yr,Energy
Primary Energy|Ocean,Primary Energy,EJ/yr,Energy
Unemployment,Unemployment,million,Macroeconomic
Value Added|Industry,Value Added,billion US$2010/yr,Macroeconomic
Value Added|Industry|Energy Intensive,Value Added,billion US$2010/yr,Macroeconomic
Value Added|Residential and Commercial|Commercial,Value Added,billion US$2010/yr,Macroeconomic
Expenditure|Medical System|Incremental,Expenditure,million Ha/yr,Macroeconomic
Expenditure|household,Expenditure,EJ,Macroeconomic
Expenditure|household|Energy,Expenditure,million Ha/yr,Macroeconomic
Expenditure|household|Food,Expenditure,million Ha/yr,Macroeconomic
Expenditure|household|Services,Expenditure,million Ha/yr,Macroeconomic
Agricultural Production|Energy|Residues,Agricultural Production,million t DM/yr,AgLU
Capacity|Electricity|Peak Demand,Capacity,GW,Energy
Capacity|Hydrogen|Biomass,Capacity,GW,Energy
Capacity|Hydrogen|Biomass|w/ CCS,Capacity,GW,Energy
Capacity|Hydrogen|Biomass|w/o CCS,Capacity,GW,Energy
Capacity|Hydrogen|Coal,Capacity,GW,Energy
Capacity|Hydrogen|Coal|w/ CCS,Capacity,GW,Energy
Capacity|Hydrogen|Coal|w/o CCS,Capacity,GW,Energy
Capacity|Hydrogen|Electricity,Capacity,GW,Energy
Capacity|Hydrogen|Gas,Capacity,GW,Energy
Capacity|Hydrogen|Gas|w/ CCS,Capacity,GW,Energy
Capacity|Hydrogen|Gas|w/o CCS,Capacity,GW,Energy
Capital Cost|Hydrogen|Biomass|w/ CCS,Capital Cost,US$2010/kW,Energy
Capital Cost|Hydrogen|Biomass|w/o CCS,Capital Cost,US$2010/kW,Energy
Capital Cost|Hydrogen|Coal|w/ CCS,Capital Cost,US$2010/kW,Energy
Capital Cost|Hydrogen|Coal|w/o CCS,Capital Cost,US$2010/kW,Energy
Capital Cost|Hydrogen|Electricity,Capital Cost,US$2010/kW,Energy
Capital Cost|Hydrogen|Gas|w/ CCS,Capital Cost,US$2010/kW,Energy
Carbon Sequestration|CCS|Biomass|Energy|Supply|Other,Carbon Sequestration,Mt CO2/yr,Emissions & Climate
Carbon Sequestration|CCS|Fossil|Energy|Supply|Other,Carbon Sequestration,Mt CO2/yr,Emissions & Climate
Cumulative Capacity|Hydrogen|Biomass,Cumulative Capacity,GW,Energy
Cumulative Capacity|Hydrogen|Biomass|w/ CCS,Cumulative Capacity,GW,Energy
Cumulative Capacity|Hydrogen|Biomass|w/o CCS,Cumulative Capacity,GW,Energy
Cumulative Capacity|Hydrogen|Coal,Cumulative Capacity,GW,Energy
Cumulative Capacity|Hydrogen|Coal|w/ CCS,Cumulative Capacity,GW,Energy
Cumulative Capacity|Hydrogen|Coal|w/o CCS,Cumulative Capacity,GW,Energy
Cumulative Capacity|Hydrogen|Electricity,Cumulative Capacity,GW,Energy
Cumulative Capacity|Hydrogen|Gas,Cumulative Capacity,GW,Energy
Cumulative Capacity|Hydrogen|Gas|w/ CCS,Cumulative Capacity,GW,Energy
Cumulative Capacity|Hydrogen|Gas|w/o CCS,Cumulative Capacity,GW,Energy
Efficiency|Hydrogen|Biomass|w/ CCS,Efficiency,%,Energy
Efficiency|Hydrogen|Biomass|w/o CCS,Efficiency,%,Energy
Efficiency|Hydrogen|Coal|w/ CCS,Efficiency,%,Energy
Efficiency|Hydrogen|Coal|w/o CCS,Efficiency,%,Energy
Efficiency|Hydrogen|Electricity,Efficiency,%,Energy
Efficiency|Hydrogen|Gas|w/ CCS,Efficiency,%,Energy
Emissions|CO2|Energy|Demand|Other Sector,Emissions,Mt CO2/yr,Emissions & Climate
Final Energy|Other Sector|Solids|Biomass|Traditional,Final Energy,EJ/yr,Energy
Final Energy|Transportation|Liquids|Natural Gas,Final Energy,EJ/yr,Energy
